	pident
6937	96.6
6938	96.6
6939	96.6
6940	96.6
6941	96.6
6942	96.6
6943	96.6
6944	96.6
6945	96.6
6946	96.6
6947	96.6
6948	96.6
6949	96.6
6950	96.6
6951	96.6
6952	96.6
6953	96.6
6954	96.6
6955	96.6
6956	96.6
6957	96.6
6958	96.6
6959	96.7
6960	96.7
6961	96.7
6962	96.7
6963	96.7
6964	96.7
6965	96.7
6966	96.7
6967	96.7
6968	96.7
6969	96.7
6970	96.7
6971	96.7
6972	96.7
6973	96.7
6974	96.7
6975	96.7
6976	96.7
6977	96.7
6978	96.7
6979	96.7
6980	96.7
6981	96.7
6982	96.7
6983	96.7
6984	96.7
6985	96.7
6986	96.7
6987	96.7
6988	96.7
6989	96.7
6990	96.7
6991	96.7
6992	96.7
6993	96.7
6994	96.7
6995	96.7
6996	96.7
6997	96.7
6998	96.7
6999	96.7
7000	96.7
7001	96.7
7002	96.7
7003	96.7
7004	96.7
7005	96.7
7006	96.7
7007	96.7
7008	96.7
7009	96.7
7010	96.7
7011	96.7
7012	96.7
7013	96.7
7014	96.7
7015	96.7
7016	96.7
7017	96.7
7018	96.7
7019	96.7
7020	96.7
7021	96.7
7022	96.7
7023	96.7
7024	96.7
7025	96.7
7026	96.7
7027	96.7
7028	96.7
7029	96.7
7030	96.7
7031	96.7
7032	96.7
7033	96.7
7034	96.7
7035	96.7
7036	96.7
7037	96.7
7038	96.7
7039	96.7
7040	96.7
7041	96.7
7042	96.7
7043	96.7
7044	96.7
7045	96.7
7046	96.7
7047	96.7
7048	96.7
7049	96.7
7050	96.7
7051	96.7
7052	96.7
7053	96.7
7054	96.7
7055	96.7
7056	96.7
7057	96.7
7058	96.7
7059	96.7
7060	96.7
7061	96.7
7062	96.7
7063	96.7
7064	96.7
7065	96.7
7066	96.7
7067	96.7
7068	96.7
7069	96.7
7070	96.7
7071	96.7
7072	96.7
7073	96.7
7074	96.7
7075	96.7
7076	96.7
7077	96.7
7078	96.7
7079	96.7
7080	96.7
7081	96.7
7082	96.7
7083	96.7
7084	96.7
7085	96.7
7086	96.7
7087	96.7
7088	96.7
7089	96.7
7090	96.7
7091	96.7
7092	96.7
7093	96.7
7094	96.7
7095	96.7
7096	96.7
7097	96.7
7098	96.7
7099	96.7
7100	96.7
7101	96.7
7102	96.7
7103	96.7
7104	96.7
7105	96.7
7106	96.7
7107	96.7
7108	96.7
7109	96.7
7110	96.7
7111	96.7
7112	96.7
7113	96.7
7114	96.7
7115	96.7
7116	96.8
7117	96.8
7118	96.8
7119	96.8
7120	96.8
7121	96.8
7122	96.8
7123	96.8
7124	96.8
7125	96.8
7126	96.8
7127	96.8
7128	96.8
7129	96.8
7130	96.8
7131	96.8
7132	96.8
7133	96.8
7134	96.8
7135	96.8
7136	96.8
7137	96.8
7138	96.8
7139	96.8
7140	96.8
7141	96.8
7142	96.8
7143	96.8
7144	96.8
7145	96.8
7146	96.8
7147	96.8
7148	96.8
7149	96.8
7150	96.8
7151	96.8
7152	96.8
7153	96.8
7154	96.8
7155	96.8
7156	96.8
7157	96.8
7158	96.8
7159	96.8
7160	96.8
7161	96.8
7162	96.8
7163	96.8
7164	96.8
7165	96.8
7166	96.8
7167	96.8
7168	96.8
7169	96.8
7170	96.8
7171	96.8
7172	96.8
7173	96.8
7174	96.8
7175	96.8
7176	96.8
7177	96.8
7178	96.8
7179	96.8
7180	96.8
7181	96.8
7182	96.8
7183	96.8
7184	96.8
7185	96.8
7186	96.8
7187	96.8
7188	96.8
7189	96.8
7190	96.8
7191	96.8
7192	96.8
7193	96.8
7194	96.8
7195	96.8
7196	96.8
7197	96.8
7198	96.8
7199	96.8
7200	96.8
7201	96.8
7202	96.8
7203	96.8
7204	96.8
7205	96.8
7206	96.8
7207	96.8
7208	96.8
7209	96.8
7210	96.8
7211	96.8
7212	96.8
7213	96.8
7214	96.8
7215	96.8
7216	96.8
7217	96.8
7218	96.8
7219	96.8
7220	96.8
7221	96.8
7222	96.8
7223	96.8
7224	96.8
7225	96.8
7226	96.8
7227	96.8
7228	96.8
7229	96.8
7230	96.8
7231	96.8
7232	96.8
7233	96.8
7234	96.8
7235	96.8
7236	96.8
7237	96.8
7238	96.8
7239	96.8
7240	96.8
7241	96.8
7242	96.8
7243	96.8
7244	96.8
7245	96.8
7246	96.8
7247	96.8
7248	96.8
7249	96.8
7250	96.8
7251	96.8
7252	96.8
7253	96.8
7254	96.8
7255	96.8
7256	96.8
7257	96.8
7258	96.8
7259	96.8
7260	96.8
7261	96.8
7262	96.8
7263	96.8
7264	96.8
7265	96.8
7266	96.8
7267	96.8
7268	96.8
7269	96.8
7270	96.8
7271	96.8
7272	96.8
7273	96.8
7274	96.9
7275	96.9
7276	96.9
7277	96.9
7278	96.9
7279	96.9
7280	96.9
7281	96.9
7282	96.9
7283	96.9
7284	96.9
7285	96.9
7286	96.9
7287	96.9
7288	96.9
7289	96.9
7290	96.9
7291	96.9
7292	96.9
7293	96.9
7294	96.9
7295	96.9
7296	96.9
7297	96.9
7298	96.9
7299	96.9
7300	96.9
7301	96.9
7302	96.9
7303	96.9
7304	96.9
7305	96.9
7306	96.9
7307	96.9
7308	96.9
7309	96.9
7310	96.9
7311	96.9
7312	96.9
7313	96.9
7314	96.9
7315	96.9
7316	96.9
7317	96.9
7318	96.9
7319	96.9
7320	96.9
7321	96.9
7322	96.9
7323	96.9
7324	96.9
7325	96.9
7326	96.9
7327	96.9
7328	96.9
7329	96.9
7330	96.9
7331	96.9
7332	96.9
7333	96.9
7334	96.9
7335	96.9
7336	96.9
7337	96.9
7338	96.9
7339	96.9
7340	96.9
7341	96.9
7342	96.9
7343	96.9
7344	96.9
7345	96.9
7346	96.9
7347	96.9
7348	96.9
7349	96.9
7350	96.9
7351	96.9
7352	96.9
7353	96.9
7354	96.9
7355	96.9
7356	96.9
7357	96.9
7358	96.9
7359	96.9
7360	96.9
7361	96.9
7362	96.9
7363	96.9
7364	96.9
7365	96.9
7366	96.9
7367	96.9
7368	96.9
7369	96.9
7370	96.9
7371	96.9
7372	96.9
7373	96.9
7374	96.9
7375	96.9
7376	96.9
7377	96.9
7378	96.9
7379	96.9
7380	96.9
7381	96.9
7382	96.9
7383	96.9
7384	96.9
7385	96.9
7386	96.9
7387	96.9
7388	96.9
7389	96.9
7390	96.9
7391	96.9
7392	96.9
7393	96.9
7394	96.9
7395	96.9
7396	96.9
7397	96.9
7398	96.9
7399	96.9
7400	96.9
7401	96.9
7402	96.9
7403	96.9
7404	96.9
7405	96.9
7406	96.9
7407	96.9
7408	96.9
7409	96.9
7410	96.9
7411	96.9
7412	96.9
7413	96.9
7414	96.9
7415	96.9
7416	96.9
7417	96.9
7418	96.9
7419	96.9
7420	96.9
7421	96.9
7422	96.9
7423	97.0
7424	97.0
7425	97.0
7426	97.0
7427	97.0
7428	97.0
7429	97.0
7430	97.0
7431	97.0
7432	97.0
7433	97.0
7434	97.0
7435	97.0
7436	97.0
7437	97.0
7438	97.0
7439	97.0
7440	97.0
7441	97.0
7442	97.0
7443	97.0
7444	97.0
7445	97.0
7446	97.0
7447	97.0
7448	97.0
7449	97.0
7450	97.0
7451	97.0
7452	97.0
7453	97.0
7454	97.0
7455	97.0
7456	97.0
7457	97.0
7458	97.0
7459	97.0
7460	97.0
7461	97.0
7462	97.0
7463	97.0
7464	97.0
7465	97.0
7466	97.0
7467	97.0
7468	97.0
7469	97.0
7470	97.0
7471	97.0
7472	97.0
7473	97.0
7474	97.0
7475	97.0
7476	97.0
7477	97.0
7478	97.0
7479	97.0
7480	97.0
7481	97.0
7482	97.0
7483	97.0
7484	97.0
7485	97.0
7486	97.0
7487	97.0
7488	97.0
7489	97.0
7490	97.0
7491	97.0
7492	97.0
7493	97.0
7494	97.0
7495	97.0
7496	97.0
7497	97.0
7498	97.0
7499	97.0
7500	97.0
7501	97.0
7502	97.0
7503	97.0
7504	97.0
7505	97.0
7506	97.0
7507	97.0
7508	97.0
7509	97.0
7510	97.0
7511	97.0
7512	97.0
7513	97.0
7514	97.0
7515	97.0
7516	97.0
7517	97.0
7518	97.0
7519	97.0
7520	97.0
7521	97.0
7522	97.0
7523	97.0
7524	97.0
7525	97.0
7526	97.0
7527	97.0
7528	97.0
7529	97.0
7530	97.0
7531	97.0
7532	97.0
7533	97.0
7534	97.0
7535	97.0
7536	97.0
7537	97.0
7538	97.0
7539	97.0
7540	97.0
7541	97.0
7542	97.0
7543	97.0
7544	97.0
7545	97.0
7546	97.0
7547	97.0
7548	97.0
7549	97.0
7550	97.0
7551	97.0
7552	97.0
7553	97.0
7554	97.0
7555	97.0
7556	97.0
7557	97.0
7558	97.0
7559	97.0
7560	97.0
7561	97.0
7562	97.0
7563	97.0
7564	97.0
7565	97.0
7566	97.0
7567	97.0
7568	97.0
7569	97.0
7570	97.0
7571	97.0
7572	97.0
7573	97.0
7574	97.0
7575	97.0
7576	97.0
7577	97.0
7578	97.0
7579	97.0
7580	97.0
7581	97.0
7582	97.0
7583	97.0
7584	97.0
7585	97.0
7586	97.0
7587	97.0
7588	97.0
7589	97.0
7590	97.0
7591	97.0
7592	97.0
7593	97.0
7594	97.0
7595	97.0
7596	97.0
7597	97.0
7598	97.0
7599	97.0
7600	97.0
7601	97.0
7602	97.0
7603	97.0
7604	97.0
7605	97.0
7606	97.0
7607	97.0
7608	97.0
7609	97.0
7610	97.1
7611	97.1
7612	97.1
7613	97.1
7614	97.1
7615	97.1
7616	97.1
7617	97.1
7618	97.1
7619	97.1
7620	97.1
7621	97.1
7622	97.1
7623	97.1
7624	97.1
7625	97.1
7626	97.1
7627	97.1
7628	97.1
7629	97.1
7630	97.1
7631	97.1
7632	97.1
7633	97.1
7634	97.1
7635	97.1
7636	97.1
7637	97.1
7638	97.1
7639	97.1
7640	97.1
7641	97.1
7642	97.1
7643	97.1
7644	97.1
7645	97.1
7646	97.1
7647	97.1
7648	97.1
7649	97.1
7650	97.1
7651	97.1
7652	97.1
7653	97.1
7654	97.1
7655	97.1
7656	97.1
7657	97.1
7658	97.1
7659	97.1
7660	97.1
7661	97.1
7662	97.1
7663	97.1
7664	97.1
7665	97.1
7666	97.1
7667	97.1
7668	97.1
7669	97.1
7670	97.1
7671	97.1
7672	97.1
7673	97.1
7674	97.1
7675	97.1
7676	97.1
7677	97.1
7678	97.1
7679	97.1
7680	97.1
7681	97.1
7682	97.1
7683	97.1
7684	97.1
7685	97.1
7686	97.1
7687	97.1
7688	97.1
7689	97.1
7690	97.1
7691	97.1
7692	97.1
7693	97.1
7694	97.1
7695	97.1
7696	97.1
7697	97.1
7698	97.1
7699	97.1
7700	97.1
7701	97.1
7702	97.1
7703	97.1
7704	97.1
7705	97.1
7706	97.1
7707	97.1
7708	97.1
7709	97.1
7710	97.1
7711	97.1
7712	97.1
7713	97.1
7714	97.1
7715	97.1
7716	97.1
7717	97.1
7718	97.1
7719	97.1
7720	97.1
7721	97.1
7722	97.1
7723	97.1
7724	97.1
7725	97.1
7726	97.1
7727	97.1
7728	97.1
7729	97.1
7730	97.1
7731	97.1
7732	97.1
7733	97.1
7734	97.1
7735	97.1
7736	97.1
7737	97.1
7738	97.1
7739	97.1
7740	97.1
7741	97.1
7742	97.1
7743	97.1
7744	97.1
7745	97.1
7746	97.1
7747	97.1
7748	97.1
7749	97.1
7750	97.1
7751	97.1
7752	97.1
7753	97.1
7754	97.1
7755	97.1
7756	97.1
7757	97.1
7758	97.1
7759	97.1
7760	97.1
7761	97.1
7762	97.1
7763	97.1
7764	97.1
7765	97.1
7766	97.1
7767	97.1
7768	97.1
7769	97.1
7770	97.1
7771	97.1
7772	97.1
7773	97.1
7774	97.1
7775	97.1
7776	97.1
7777	97.1
7778	97.1
7779	97.1
7780	97.1
7781	97.1
7782	97.1
7783	97.1
7784	97.1
7785	97.1
7786	97.1
7787	97.1
7788	97.1
7789	97.1
7790	97.1
7791	97.1
7792	97.1
7793	97.1
7794	97.1
7795	97.1
7796	97.1
7797	97.1
7798	97.1
7799	97.1
7800	97.1
7801	97.1
7802	97.1
7803	97.1
7804	97.1
7805	97.1
7806	97.1
7807	97.1
7808	97.1
7809	97.1
7810	97.2
7811	97.2
7812	97.2
7813	97.2
7814	97.2
7815	97.2
7816	97.2
7817	97.2
7818	97.2
7819	97.2
7820	97.2
7821	97.2
7822	97.2
7823	97.2
7824	97.2
7825	97.2
7826	97.2
7827	97.2
7828	97.2
7829	97.2
7830	97.2
7831	97.2
7832	97.2
7833	97.2
7834	97.2
7835	97.2
7836	97.2
7837	97.2
7838	97.2
7839	97.2
7840	97.2
7841	97.2
7842	97.2
7843	97.2
7844	97.2
7845	97.2
7846	97.2
7847	97.2
7848	97.2
7849	97.2
7850	97.2
7851	97.2
7852	97.2
7853	97.2
7854	97.2
7855	97.2
7856	97.2
7857	97.2
7858	97.2
7859	97.2
7860	97.2
7861	97.2
7862	97.2
7863	97.2
7864	97.2
7865	97.2
7866	97.2
7867	97.2
7868	97.2
7869	97.2
7870	97.2
7871	97.2
7872	97.2
7873	97.2
7874	97.2
7875	97.2
7876	97.2
7877	97.2
7878	97.2
7879	97.2
7880	97.2
7881	97.2
7882	97.2
7883	97.2
7884	97.2
7885	97.2
7886	97.2
7887	97.2
7888	97.2
7889	97.2
7890	97.2
7891	97.2
7892	97.2
7893	97.2
7894	97.2
7895	97.2
7896	97.2
7897	97.2
7898	97.2
7899	97.2
7900	97.2
7901	97.2
7902	97.2
7903	97.2
7904	97.2
7905	97.2
7906	97.2
7907	97.2
7908	97.2
7909	97.2
7910	97.2
7911	97.2
7912	97.2
7913	97.2
7914	97.2
7915	97.2
7916	97.2
7917	97.2
7918	97.2
7919	97.2
7920	97.2
7921	97.2
7922	97.2
7923	97.2
7924	97.2
7925	97.2
7926	97.2
7927	97.2
7928	97.2
7929	97.2
7930	97.2
7931	97.2
7932	97.2
7933	97.2
7934	97.2
7935	97.2
7936	97.2
7937	97.2
7938	97.2
7939	97.2
7940	97.2
7941	97.2
7942	97.2
7943	97.2
7944	97.2
7945	97.2
7946	97.2
7947	97.2
7948	97.2
7949	97.2
7950	97.2
7951	97.2
7952	97.2
7953	97.2
7954	97.2
7955	97.2
7956	97.2
7957	97.2
7958	97.2
7959	97.2
7960	97.2
7961	97.2
7962	97.2
7963	97.2
7964	97.2
7965	97.2
7966	97.2
7967	97.2
7968	97.2
7969	97.2
7970	97.2
7971	97.2
7972	97.2
7973	97.2
7974	97.2
7975	97.2
7976	97.2
7977	97.2
7978	97.2
7979	97.2
7980	97.2
7981	97.2
7982	97.2
7983	97.2
7984	97.2
7985	97.2
7986	97.2
7987	97.2
7988	97.2
7989	97.2
7990	97.2
7991	97.2
7992	97.2
7993	97.2
7994	97.2
7995	97.2
7996	97.2
7997	97.2
7998	97.2
7999	97.2
8000	97.2
8001	97.2
8002	97.2
8003	97.2
8004	97.2
8005	97.2
8006	97.2
8007	97.2
8008	97.3
8009	97.3
8010	97.3
8011	97.3
8012	97.3
8013	97.3
8014	97.3
8015	97.3
8016	97.3
8017	97.3
8018	97.3
8019	97.3
8020	97.3
8021	97.3
8022	97.3
8023	97.3
8024	97.3
8025	97.3
8026	97.3
8027	97.3
8028	97.3
8029	97.3
8030	97.3
8031	97.3
8032	97.3
8033	97.3
8034	97.3
8035	97.3
8036	97.3
8037	97.3
8038	97.3
8039	97.3
8040	97.3
8041	97.3
8042	97.3
8043	97.3
8044	97.3
8045	97.3
8046	97.3
8047	97.3
8048	97.3
8049	97.3
8050	97.3
8051	97.3
8052	97.3
8053	97.3
8054	97.3
8055	97.3
8056	97.3
8057	97.3
8058	97.3
8059	97.3
8060	97.3
8061	97.3
8062	97.3
8063	97.3
8064	97.3
8065	97.3
8066	97.3
8067	97.3
8068	97.3
8069	97.3
8070	97.3
8071	97.3
8072	97.3
8073	97.3
8074	97.3
8075	97.3
8076	97.3
8077	97.3
8078	97.3
8079	97.3
8080	97.3
8081	97.3
8082	97.3
8083	97.3
8084	97.3
8085	97.3
8086	97.3
8087	97.3
8088	97.3
8089	97.3
8090	97.3
8091	97.3
8092	97.3
8093	97.3
8094	97.3
8095	97.3
8096	97.3
8097	97.3
8098	97.3
8099	97.3
8100	97.3
8101	97.3
8102	97.3
8103	97.3
8104	97.3
8105	97.3
8106	97.3
8107	97.3
8108	97.3
8109	97.3
8110	97.3
8111	97.3
8112	97.3
8113	97.3
8114	97.3
8115	97.3
8116	97.3
8117	97.3
8118	97.3
8119	97.3
8120	97.3
8121	97.3
8122	97.3
8123	97.3
8124	97.3
8125	97.3
8126	97.3
8127	97.3
8128	97.3
8129	97.3
8130	97.3
8131	97.3
8132	97.3
8133	97.3
8134	97.3
8135	97.3
8136	97.3
8137	97.3
8138	97.3
8139	97.3
8140	97.3
8141	97.3
8142	97.3
8143	97.3
8144	97.3
8145	97.3
8146	97.3
8147	97.3
8148	97.3
8149	97.3
8150	97.3
8151	97.3
8152	97.3
8153	97.3
8154	97.3
8155	97.3
8156	97.3
8157	97.3
8158	97.3
8159	97.3
8160	97.3
8161	97.3
8162	97.3
8163	97.3
8164	97.3
8165	97.3
8166	97.3
8167	97.3
8168	97.3
8169	97.3
8170	97.3
8171	97.3
8172	97.3
8173	97.3
8174	97.3
8175	97.3
8176	97.3
8177	97.3
8178	97.3
8179	97.3
8180	97.3
8181	97.3
8182	97.3
8183	97.4
8184	97.4
8185	97.4
8186	97.4
8187	97.4
8188	97.4
8189	97.4
8190	97.4
8191	97.4
8192	97.4
8193	97.4
8194	97.4
8195	97.4
8196	97.4
8197	97.4
8198	97.4
8199	97.4
8200	97.4
8201	97.4
8202	97.4
8203	97.4
8204	97.4
8205	97.4
8206	97.4
8207	97.4
8208	97.4
8209	97.4
8210	97.4
8211	97.4
8212	97.4
8213	97.4
8214	97.4
8215	97.4
8216	97.4
8217	97.4
8218	97.4
8219	97.4
8220	97.4
8221	97.4
8222	97.4
8223	97.4
8224	97.4
8225	97.4
8226	97.4
8227	97.4
8228	97.4
8229	97.4
8230	97.4
8231	97.4
8232	97.4
8233	97.4
8234	97.4
8235	97.4
8236	97.4
8237	97.4
8238	97.4
8239	97.4
8240	97.4
8241	97.4
8242	97.4
8243	97.4
8244	97.4
8245	97.4
8246	97.4
8247	97.4
8248	97.4
8249	97.4
8250	97.4
8251	97.4
8252	97.4
8253	97.4
8254	97.4
8255	97.4
8256	97.4
8257	97.4
8258	97.4
8259	97.4
8260	97.4
8261	97.4
8262	97.4
8263	97.4
8264	97.4
8265	97.4
8266	97.4
8267	97.4
8268	97.4
8269	97.4
8270	97.4
8271	97.4
8272	97.4
8273	97.4
8274	97.4
8275	97.4
8276	97.4
8277	97.4
8278	97.4
8279	97.4
8280	97.4
8281	97.4
8282	97.4
8283	97.4
8284	97.4
8285	97.4
8286	97.4
8287	97.4
8288	97.4
8289	97.4
8290	97.4
8291	97.4
8292	97.4
8293	97.4
8294	97.4
8295	97.4
8296	97.4
8297	97.4
8298	97.4
8299	97.4
8300	97.4
8301	97.4
8302	97.4
8303	97.4
8304	97.4
8305	97.4
8306	97.4
8307	97.4
8308	97.4
8309	97.4
8310	97.4
8311	97.4
8312	97.4
8313	97.4
8314	97.4
8315	97.4
8316	97.4
8317	97.4
8318	97.4
8319	97.4
8320	97.4
8321	97.4
8322	97.4
8323	97.4
8324	97.4
8325	97.4
8326	97.4
8327	97.4
8328	97.4
8329	97.4
8330	97.4
8331	97.4
8332	97.4
8333	97.4
8334	97.4
8335	97.4
8336	97.4
8337	97.4
8338	97.4
8339	97.4
8340	97.4
8341	97.4
8342	97.4
8343	97.4
8344	97.4
8345	97.4
8346	97.4
8347	97.4
8348	97.4
8349	97.4
8350	97.4
8351	97.4
8352	97.4
8353	97.4
8354	97.4
8355	97.4
8356	97.4
8357	97.4
8358	97.4
8359	97.4
8360	97.4
8361	97.4
8362	97.4
8363	97.4
8364	97.4
8365	97.4
8366	97.4
8367	97.4
8368	97.4
8369	97.4
8370	97.4
8371	97.4
8372	97.4
8373	97.4
8374	97.4
8375	97.4
8376	97.4
8377	97.4
8378	97.4
8379	97.4
8380	97.4
8381	97.4
8382	97.4
8383	97.4
8384	97.4
8385	97.5
8386	97.5
8387	97.5
8388	97.5
8389	97.5
8390	97.5
8391	97.5
8392	97.5
8393	97.5
8394	97.5
8395	97.5
8396	97.5
8397	97.5
8398	97.5
8399	97.5
8400	97.5
8401	97.5
8402	97.5
8403	97.5
8404	97.5
8405	97.5
8406	97.5
8407	97.5
8408	97.5
8409	97.5
8410	97.5
8411	97.5
8412	97.5
8413	97.5
8414	97.5
8415	97.5
8416	97.5
8417	97.5
8418	97.5
8419	97.5
8420	97.5
8421	97.5
8422	97.5
8423	97.5
8424	97.5
8425	97.5
8426	97.5
8427	97.5
8428	97.5
8429	97.5
8430	97.5
8431	97.5
8432	97.5
8433	97.5
8434	97.5
8435	97.5
8436	97.5
8437	97.5
8438	97.5
8439	97.5
8440	97.5
8441	97.5
8442	97.5
8443	97.5
8444	97.5
8445	97.5
8446	97.5
8447	97.5
8448	97.5
8449	97.5
8450	97.5
8451	97.5
8452	97.5
8453	97.5
8454	97.5
8455	97.5
8456	97.5
8457	97.5
8458	97.5
8459	97.5
8460	97.5
8461	97.5
8462	97.5
8463	97.5
8464	97.5
8465	97.5
8466	97.5
8467	97.5
8468	97.5
8469	97.5
8470	97.5
8471	97.5
8472	97.5
8473	97.5
8474	97.5
8475	97.5
8476	97.5
8477	97.5
8478	97.5
8479	97.5
8480	97.5
8481	97.5
8482	97.5
8483	97.5
8484	97.5
8485	97.5
8486	97.5
8487	97.5
8488	97.5
8489	97.5
8490	97.5
8491	97.5
8492	97.5
8493	97.5
8494	97.5
8495	97.5
8496	97.5
8497	97.5
8498	97.5
8499	97.5
8500	97.5
8501	97.5
8502	97.5
8503	97.5
8504	97.5
8505	97.5
8506	97.5
8507	97.5
8508	97.5
8509	97.5
8510	97.5
8511	97.5
8512	97.5
8513	97.5
8514	97.5
8515	97.5
8516	97.5
8517	97.5
8518	97.5
8519	97.5
8520	97.5
8521	97.5
8522	97.5
8523	97.5
8524	97.5
8525	97.5
8526	97.5
8527	97.5
8528	97.5
8529	97.5
8530	97.5
8531	97.5
8532	97.5
8533	97.5
8534	97.5
8535	97.5
8536	97.5
8537	97.5
8538	97.5
8539	97.5
8540	97.5
8541	97.5
8542	97.5
8543	97.5
8544	97.5
8545	97.5
8546	97.5
8547	97.5
8548	97.5
8549	97.5
8550	97.5
8551	97.5
8552	97.5
8553	97.5
8554	97.5
8555	97.5
8556	97.5
8557	97.5
8558	97.5
8559	97.5
8560	97.5
8561	97.5
8562	97.5
8563	97.5
8564	97.5
8565	97.5
8566	97.5
8567	97.5
8568	97.5
8569	97.5
8570	97.5
8571	97.5
8572	97.5
8573	97.5
8574	97.5
8575	97.5
8576	97.5
8577	97.5
8578	97.5
8579	97.5
8580	97.5
8581	97.5
8582	97.5
8583	97.5
8584	97.6
8585	97.6
8586	97.6
8587	97.6
8588	97.6
8589	97.6
8590	97.6
8591	97.6
8592	97.6
8593	97.6
8594	97.6
8595	97.6
8596	97.6
8597	97.6
8598	97.6
8599	97.6
8600	97.6
8601	97.6
8602	97.6
8603	97.6
8604	97.6
8605	97.6
8606	97.6
8607	97.6
8608	97.6
8609	97.6
8610	97.6
8611	97.6
8612	97.6
8613	97.6
8614	97.6
8615	97.6
8616	97.6
8617	97.6
8618	97.6
8619	97.6
8620	97.6
8621	97.6
8622	97.6
8623	97.6
8624	97.6
8625	97.6
8626	97.6
8627	97.6
8628	97.6
8629	97.6
8630	97.6
8631	97.6
8632	97.6
8633	97.6
8634	97.6
8635	97.6
8636	97.6
8637	97.6
8638	97.6
8639	97.6
8640	97.6
8641	97.6
8642	97.6
8643	97.6
8644	97.6
8645	97.6
8646	97.6
8647	97.6
8648	97.6
8649	97.6
8650	97.6
8651	97.6
8652	97.6
8653	97.6
8654	97.6
8655	97.6
8656	97.6
8657	97.6
8658	97.6
8659	97.6
8660	97.6
8661	97.6
8662	97.6
8663	97.6
8664	97.6
8665	97.6
8666	97.6
8667	97.6
8668	97.6
8669	97.6
8670	97.6
8671	97.6
8672	97.6
8673	97.6
8674	97.6
8675	97.6
8676	97.6
8677	97.6
8678	97.6
8679	97.6
8680	97.6
8681	97.6
8682	97.6
8683	97.6
8684	97.6
8685	97.6
8686	97.6
8687	97.6
8688	97.6
8689	97.6
8690	97.6
8691	97.6
8692	97.6
8693	97.6
8694	97.6
8695	97.6
8696	97.6
8697	97.6
8698	97.6
8699	97.6
8700	97.6
8701	97.6
8702	97.6
8703	97.6
8704	97.6
8705	97.6
8706	97.6
8707	97.6
8708	97.6
8709	97.6
8710	97.6
8711	97.6
8712	97.6
8713	97.6
8714	97.6
8715	97.6
8716	97.6
8717	97.6
8718	97.6
8719	97.6
8720	97.6
8721	97.6
8722	97.6
8723	97.6
8724	97.6
8725	97.6
8726	97.6
8727	97.6
8728	97.6
8729	97.6
8730	97.6
8731	97.6
8732	97.6
8733	97.6
8734	97.6
8735	97.6
8736	97.6
8737	97.6
8738	97.6
8739	97.6
8740	97.6
8741	97.6
8742	97.6
8743	97.6
8744	97.6
8745	97.6
8746	97.6
8747	97.6
8748	97.6
8749	97.6
8750	97.6
8751	97.6
8752	97.6
8753	97.6
8754	97.6
8755	97.6
8756	97.6
8757	97.6
8758	97.6
8759	97.6
8760	97.6
8761	97.6
8762	97.6
8763	97.6
8764	97.6
8765	97.6
8766	97.6
8767	97.6
8768	97.6
8769	97.6
8770	97.6
8771	97.6
8772	97.6
8773	97.6
8774	97.6
8775	97.6
8776	97.6
8777	97.6
8778	97.6
8779	97.6
8780	97.6
8781	97.6
8782	97.6
8783	97.6
8784	97.6
8785	97.6
8786	97.6
8787	97.6
8788	97.6
8789	97.6
8790	97.6
8791	97.6
8792	97.6
8793	97.6
8794	97.6
8795	97.6
8796	97.6
8797	97.6
8798	97.6
8799	97.7
8800	97.7
8801	97.7
8802	97.7
8803	97.7
8804	97.7
8805	97.7
8806	97.7
8807	97.7
8808	97.7
8809	97.7
8810	97.7
8811	97.7
8812	97.7
8813	97.7
8814	97.7
8815	97.7
8816	97.7
8817	97.7
8818	97.7
8819	97.7
8820	97.7
8821	97.7
8822	97.7
8823	97.7
8824	97.7
8825	97.7
8826	97.7
8827	97.7
8828	97.7
8829	97.7
8830	97.7
8831	97.7
8832	97.7
8833	97.7
8834	97.7
8835	97.7
8836	97.7
8837	97.7
8838	97.7
8839	97.7
8840	97.7
8841	97.7
8842	97.7
8843	97.7
8844	97.7
8845	97.7
8846	97.7
8847	97.7
8848	97.7
8849	97.7
8850	97.7
8851	97.7
8852	97.7
8853	97.7
8854	97.7
8855	97.7
8856	97.7
8857	97.7
8858	97.7
8859	97.7
8860	97.7
8861	97.7
8862	97.7
8863	97.7
8864	97.7
8865	97.7
8866	97.7
8867	97.7
8868	97.7
8869	97.7
8870	97.7
8871	97.7
8872	97.7
8873	97.7
8874	97.7
8875	97.7
8876	97.7
8877	97.7
8878	97.7
8879	97.7
8880	97.7
8881	97.7
8882	97.7
8883	97.7
8884	97.7
8885	97.7
8886	97.7
8887	97.7
8888	97.7
8889	97.7
8890	97.7
8891	97.7
8892	97.7
8893	97.7
8894	97.7
8895	97.7
8896	97.7
8897	97.7
8898	97.7
8899	97.7
8900	97.7
8901	97.7
8902	97.7
8903	97.7
8904	97.7
8905	97.7
8906	97.7
8907	97.7
8908	97.7
8909	97.7
8910	97.7
8911	97.7
8912	97.7
8913	97.7
8914	97.7
8915	97.7
8916	97.7
8917	97.7
8918	97.7
8919	97.7
8920	97.7
8921	97.7
8922	97.7
8923	97.7
8924	97.7
8925	97.7
8926	97.7
8927	97.7
8928	97.7
8929	97.7
8930	97.7
8931	97.7
8932	97.7
8933	97.7
8934	97.7
8935	97.7
